Time,RST,start_ga,load_initial_population,data_in,GA_State,Pipe_State,init_cnt,iter_cnt,busy,done,perfect,best_chr,best_fit,req_fit,req_tot_fit,start_sel,sel_done,sel_idx1,sel_idx2,parent1,parent2,start_cross,cross_done,child_cross,start_mut,mut_done,child_mut,start_eval_init,start_eval_pipe,eval_done,child_fit,start_pop_write,pop_write_done
# GA State Key: 0=S_IDLE, 1=S_INIT, 2=S_RUNNING, 3=S_DONE
# Pipeline State Key: 0=P_IDLE, 1=P_SELECT, 2=P_CROSSOVER, 3=P_MUTATION, 4=P_EVALUATE, 5=P_UPDATE
150000000,0,x,x,xxxx,0,0, 0,         0,0,0,0,0000,    0,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
250000000,0,x,x,xxxx,0,0, 0,         0,0,0,0,0000,    0,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
350000000,0,x,x,xxxx,0,0, 0,         0,0,0,0,0000,    0,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
450000000,0,x,x,xxxx,0,0, 0,         0,0,0,0,0000,    0,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
550000000,0,0,x,xxxx,0,0, 0,         0,0,0,0,0000,    0,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
650000000,0,0,x,xxxx,1,0, 0,         0,1,0,0,0000,    0,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    0,0,0
750000000,0,0,1,0001,1,0, 0,         0,1,0,0,0000,    0,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    8,0,0
850000000,0,0,0,0001,1,0, 0,         0,1,0,0,0000,    0,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    8,1,0
950000000,0,0,0,0001,1,0, 0,         0,1,0,0,0000,    0,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    8,0,0
1050000000,0,0,0,0001,1,0, 0,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    8,0,1
1150000000,0,0,0,0001,1,0, 1,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    8,1,0
1250000000,0,0,1,090f,1,0, 1,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    8,0,0
1350000000,0,0,0,090f,1,0, 1,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    6,0,1
1450000000,0,0,0,090f,1,0, 2,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    6,1,0
1550000000,0,0,1,0f02,1,0, 2,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    6,0,0
1650000000,0,0,0,0f02,1,0, 2,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    5,0,1
1750000000,0,0,0,0f02,1,0, 3,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    5,1,0
1850000000,0,0,1,1234,1,0, 3,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    5,0,0
1950000000,0,0,0,1234,1,0, 3,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    5,0,1
2050000000,0,0,0,1234,1,0, 4,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    5,1,0
2150000000,0,0,1,abcd,1,0, 4,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    5,0,0
2250000000,0,0,0,abcd,1,0, 4,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,   10,0,1
2350000000,0,0,0,abcd,1,0, 5,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,   10,1,0
2450000000,0,0,1,5555,1,0, 5,         0,1,0,0,7a52,    8,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,   10,0,0
2550000000,0,0,0,5555,1,0, 5,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    8,0,1
2650000000,0,0,0,5555,1,0, 6,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    8,1,0
2750000000,0,0,1,aaaa,1,0, 6,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    8,0,0
2850000000,0,0,0,aaaa,1,0, 6,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    8,0,1
2950000000,0,0,0,aaaa,1,0, 7,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    8,1,0
3050000000,0,0,1,0ace,1,0, 7,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    8,0,0
3150000000,0,0,0,0ace,1,0, 7,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    7,0,1
3250000000,0,0,0,0ace,1,0, 8,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    7,1,0
3350000000,0,0,1,d2ad,1,0, 8,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    7,0,0
3450000000,0,0,0,d2ad,1,0, 8,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    9,0,1
3550000000,0,0,0,d2ad,1,0, 9,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    9,1,0
3650000000,0,0,1,b2ef,1,0, 9,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    9,0,0
3750000000,0,0,0,b2ef,1,0, 9,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,   11,0,1
3850000000,0,0,0,b2ef,1,0,10,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,   11,1,0
3950000000,0,0,1,0000,1,0,10,         0,1,0,0,5555,   10,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,   11,0,0
4050000000,0,0,0,0000,1,0,10,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,1
4150000000,0,0,0,0000,1,0,11,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    0,1,0
4250000000,0,0,1,1111,1,0,11,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    0,0,0
4350000000,0,0,0,1111,1,0,11,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    4,0,1
4450000000,0,0,0,1111,1,0,12,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    4,1,0
4550000000,0,0,1,2222,1,0,12,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    4,0,0
4650000000,0,0,0,2222,1,0,12,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    4,0,1
4750000000,0,0,0,2222,1,0,13,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    4,1,0
4850000000,0,0,1,3333,1,0,13,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    4,0,0
4950000000,0,0,0,3333,1,0,13,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    8,0,1
5050000000,0,0,0,3333,1,0,14,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    8,1,0
5150000000,0,0,1,4444,1,0,14,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    8,0,0
5250000000,0,0,0,4444,1,0,14,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    4,0,1
5350000000,0,0,0,4444,1,0,15,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    4,1,0
5450000000,0,0,1,0601,1,0,15,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,1,0,0,    4,0,0
5550000000,0,0,0,0601,1,0,15,         0,1,0,0,0000,   11,0,0,0,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    3,0,1
5650000000,0,0,0,0601,2,1, 0,         0,1,0,0,0000,   11,1,1,1,0, 0, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    3,0,0
5750000000,0,0,0,0601,2,1, 0,         0,1,0,0,0000,   11,1,1,1,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    3,0,0
5850000000,0,0,0,0601,2,1, 0,         0,1,0,0,0000,   11,1,1,0,1,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    3,0,0
5950000000,0,0,0,0601,2,1, 0,         0,1,0,0,0000,   11,1,1,1,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    3,0,0
6050000000,0,0,0,0601,2,1, 0,         0,1,0,0,0000,   11,1,1,1,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    3,0,0
6150000000,0,0,0,0601,2,1, 0,         0,1,0,0,0000,   11,1,1,0,1,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    3,0,0
6250000000,0,0,0,0601,2,2, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,1,0,0000,0,0,0000,0,0,0,    3,0,0
6350000000,0,0,0,0601,2,2, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,1,0000,0,0,0000,0,0,0,    3,0,0
6450000000,0,0,0,0601,2,2, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,1,0,0000,0,0,0000,0,0,0,    3,0,0
6550000000,0,0,0,0601,2,2, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,1,0000,0,0,0000,0,0,0,    3,0,0
6650000000,0,0,0,0601,2,3, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,1,0,0000,0,0,0,    3,0,0
6750000000,0,0,0,0601,2,3, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,1,0000,0,0,0,    3,0,0
6850000000,0,0,0,0601,2,3, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,1,0,0000,0,0,0,    3,0,0
6950000000,0,0,0,0601,2,3, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,1,0000,0,0,0,    3,0,0
7050000000,0,0,0,0601,2,4, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,1,0,    3,0,0
7150000000,0,0,0,0601,2,4, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
7250000000,0,0,0,0601,2,4, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,1,    0,0,0
7350000000,0,0,0,0601,2,5, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,1,0
7450000000,0,0,0,0601,2,5, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,1,0
7550000000,0,0,0,0601,2,5, 0,         0,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,1
7650000000,0,0,0,0601,2,1, 0,         1,1,0,0,0000,   11,1,1,1,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
7750000000,0,0,0,0601,2,1, 0,         1,1,0,0,0000,   11,1,1,1,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
7850000000,0,0,0,0601,2,1, 0,         1,1,0,0,0000,   11,1,1,0,1,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
7950000000,0,0,0,0601,2,1, 0,         1,1,0,0,0000,   11,1,1,1,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
8050000000,0,0,0,0601,2,1, 0,         1,1,0,0,0000,   11,1,1,1,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
8150000000,0,0,0,0601,2,1, 0,         1,1,0,0,0000,   11,1,1,0,1,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
8250000000,0,0,0,0601,2,2, 0,         1,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,1,0,0000,0,0,0000,0,0,0,    0,0,0
8350000000,0,0,0,0601,2,2, 0,         1,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,1,0000,0,0,0000,0,0,0,    0,0,0
8450000000,0,0,0,0601,2,2, 0,         1,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,1,0,0000,0,0,0000,0,0,0,    0,0,0
8550000000,0,0,0,0601,2,2, 0,         1,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,1,0000,0,0,0000,0,0,0,    0,0,0
8650000000,0,0,0,0601,2,3, 0,         1,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,1,0,0000,0,0,0,    0,0,0
8750000000,0,0,0,0601,2,3, 0,         1,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,1,0000,0,0,0,    0,0,0
8850000000,0,0,0,0601,2,3, 0,         1,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,1,0,0000,0,0,0,    0,0,0
8950000000,0,0,0,0601,2,3, 0,         1,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,1,0000,0,0,0,    0,0,0
9050000000,0,0,0,0601,2,4, 0,         1,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,1,0,    0,0,0
9150000000,0,0,0,0601,2,4, 0,         1,1,0,0,0000,   11,1,1,0,0,15, 0,0000,0000,0,0,0000,0,0,0000,0,0,0,    0,0,0
